"pdt_id";"review_detailquestion";"response";"response_percent"
301106412;"향은 좋은가요?";"좋지않음";0
301106412;"발림성은 좋나요?";"좋음";100
301106412;"발림성은 좋나요?";"보통";0
301106412;"발림성은 좋나요?";"좋지않음";0
301106412;"제품에 끈적임이 있나요?";"없음";100
301106412;"제품에 끈적임이 있나요?";"적당함";0
301106412;"제품에 끈적임이 있나요?";"심함";0
301106412;"자극도는 어떤가요?";"순함";86
301106412;"자극도는 어떤가요?";"적당함";14
301106412;"자극도는 어떤가요?";"자극적임";0
301106412;"어떤 피부타입이세요?";"건성";14
301106412;"어떤 피부타입이세요?";"지성";29
301106412;"어떤 피부타입이세요?";"복합성";57
301106412;"어떤 피부타입이세요?";"민감성";0
301100057;"향은 좋은가요?";"좋음";100
301100057;"향은 좋은가요?";"보통";0
301100057;"향은 좋은가요?";"좋지않음";0
301100057;"발림성은 좋나요?";"좋음";100
301100057;"발림성은 좋나요?";"보통";0
301100057;"발림성은 좋나요?";"좋지않음";0
301100057;"제품에 끈적임이 있나요?";"없음";0
301100057;"제품에 끈적임이 있나요?";"적당함";100
301100057;"제품에 끈적임이 있나요?";"심함";0
301100057;"자극도는 어떤가요?";"순함";100
301100057;"자극도는 어떤가요?";"적당함";0
301100057;"자극도는 어떤가요?";"자극적임";0
301100057;"어떤 피부타입이세요?";"건성";0
301100057;"어떤 피부타입이세요?";"지성";0
301100057;"어떤 피부타입이세요?";"복합성";100
301100057;"어떤 피부타입이세요?";"민감성";0
300987999;"향은 좋은가요?";"좋음";100
300987999;"향은 좋은가요?";"보통";0
300987999;"향은 좋은가요?";"좋지않음";0
300987999;"발림성은 좋나요?";"좋음";100
300987999;"발림성은 좋나요?";"보통";0
300987999;"발림성은 좋나요?";"좋지않음";0
300987999;"제품에 끈적임이 있나요?";"없음";100
300987999;"제품에 끈적임이 있나요?";"적당함";0
300987999;"제품에 끈적임이 있나요?";"심함";0
300987999;"자극도는 어떤가요?";"순함";100
300987999;"자극도는 어떤가요?";"적당함";0
300987999;"자극도는 어떤가요?";"자극적임";0
300987999;"어떤 피부타입이세요?";"건성";100
300987999;"어떤 피부타입이세요?";"지성";0
300987999;"어떤 피부타입이세요?";"복합성";0
300987999;"어떤 피부타입이세요?";"민감성";0
